iter	Passed	Remaining
163	1829	4272
164	1833	4244
165	1867	4285
166	1886	4293
167	1893	4271
168	1936	4330
169	1947	4317
170	1950	4289
171	1954	4262
172	1960	4238
173	1967	4217
174	2032	4321
175	2079	4384
176	2083	4354
177	2087	4328
178	2109	4335
179	2127	4337
180	2141	4331
181	2145	4303
182	2229	4435
183	2237	4413
184	2253	4408
185	2256	4380
186	2260	4351
187	2266	4327
188	2270	4300
189	2320	4360
190	2323	4331
191	2336	4320
192	2339	4291
193	2342	4261
194	2352	4246
195	2355	4217
196	2358	4190
197	2420	4266
198	2423	4237
199	2432	4219
200	2438	4196
201	2444	4175
202	2451	4154
203	2454	4126
204	2458	4101
205	2544	4212
206	2549	4187
207	2552	4159
208	2557	4136
209	2563	4113
210	2566	4086
211	2569	4060
212	2579	4044
213	2583	4019
214	2650	4092
215	2661	4078
216	2665	4053
217	2669	4028
218	2677	4010
219	2680	3984
220	2684	3959
221	2745	4018
222	2755	4003
223	2775	4001
224	2793	3997
225	2798	3974
226	2805	3955
227	2813	3936
228	2823	3920
229	2828	3898
230	2835	3879
231	2842	3859
232	2852	3844
233	2858	3824
234	2869	3809
235	2896	3816
236	2923	3823
237	2927	3800
238	2931	3777
239	2937	3757
240	2944	3739
241	2950	3718
242	2987	3737
243	2994	3718
244	2997	3695
245	3018	3693
246	3033	3684
247	3048	3674
248	3051	3652
249	3059	3634
250	3062	3611
251	3066	3589
252	3085	3585
253	3092	3567
254	3095	3544
255	3098	3522
256	3107	3506
257	3110	3484
258	3113	3461
259	3127	3452
260	3131	3430
261	3148	3424
262	3154	3406
263	3158	3385
264	3161	3364
265	3187	3367
266	3190	3346
267	3194	3325
268	3200	3308
269	3204	3287
270	3208	3268
271	3212	3247
272	3219	3231
273	3251	3239
274	3287	3251
275	3292	3232
276	3295	3212
277	3322	3215
278	3326	3195
279	3336	3181
280	3354	3175
281	3361	3158
282	3366	3140
283	3400	3148
284	3420	3144
285	3429	3129
286	3433	3110
287	3437	3091
288	3445	3076
289	3449	3056
290	3478	3059
291	3496	3053
292	3508	3041
293	3512	3022
294	3515	3003
295	3529	2993
296	3559	2995
297	3562	2976
298	3565	2957
299	3571	2940
300	3576	2922
301	3596	2918
302	3604	2902
303	3612	2887
304	3624	2876
305	3628	2857
306	3645	2849
307	3652	2834
308	3673	2829
309	3678	2812
310	3683	2795
311	3696	2784
312	3707	2771
313	3718	2759
314	3770	2776
315	3773	2758
316	3796	2754
317	3799	2735
318	3809	2722
319	3822	2711
320	3826	2693
321	3872	2706
322	3938	2731
323	3941	2713
324	3944	2694
325	3947	2676
326	3952	2658
327	3955	2640
328	3958	2622
329	3966	2608
330	3970	2590
331	3986	2581
332	3990	2564
333	3998	2549
334	4001	2532
335	4004	2514
336	4013	2501
337	4017	2484
338	4021	2467
339	4037	2458
340	4068	2457
341	4077	2444
342	4081	2427
343	4086	2411
344	4096	2398
345	4119	2393
346	4129	2379
347	4132	2363
348	4146	2352
349	4158	2340
350	4162	2324
351	4180	2316
352	4184	2299
353	4189	2283
354	4192	2267
355	4195	2251
356	4212	2241
357	4230	2233
358	4233	2216
359	4236	2200
360	4250	2190
361	4258	2176
362	4265	2162
363	4280	2151
364	4289	2138
365	4306	2129
366	4320	2119
367	4323	2103
368	4328	2088
369	4382	2096
370	4398	2086
371	4404	2072
372	4417	2060
373	4420	2044
374	4426	2030
375	4429	2014
376	4432	1998
377	4477	2001
378	4485	1988
379	4488	1972
380	4493	1957
381	4498	1942
382	4501	1927
383	4504	1912
384	4532	1907
385	4551	1898
386	4554	1882
387	4561	1869
388	4564	1854
389	4568	1838
390	4574	1824
391	4577	1809
392	4643	1819
393	4651	1806
394	4658	1792
395	4679	1784
396	4705	1777
397	4708	1762
398	4712	1747
399	4715	1732
400	4722	1719
401	4725	1704
402	4742	1694
403	4755	1683
404	4772	1673
405	4796	1665
406	4803	1652
407	4806	1637
408	4808	1622
409	4812	1607
410	4821	1595
